fecha,hora,divisa,evento,impacto,actual,prevision,anterior
2020-05-05,06:30,AUD,Comunicado sobre tipos del RBA,2,,,
2020-05-05,07:45,CHF,Confianza del consumidor de la SECO (2T),2,-39,,-9
2020-05-05,08:30,CHF,IPC (Mensual) (Abr),2,"-0,4%","-0,1%","0,1%"
2020-05-05,09:00,EUR,"Declaraciones de De Guindos, vicepresidente del BCE",2,,,
2020-05-05,10:00,BRL,Índice de inflación IPC-Fipe (Mensual) (Abr),2,"-0,30%",,"0,10%"
2020-05-05,10:00,EUR,"Declaraciones de Weidmann, presidente del Bundesbank",2,,,
2020-05-05,10:20,EUR,"Comparecencia de Wuermeling, del Buba alemán",2,,,
2020-05-05,10:40,EUR,Declaraciones de Mersch miembro del BCE,2,,,
2020-05-05,11:00,EUR,Comparecencia de Enria del BCE,2,,,
2020-05-05,12:00,EUR,Previsiones económicas de la UE,2,,,
2020-05-05,12:30,EUR,Confianza del consumidor en España,2,"49,9",,"63,3"
2020-05-05,14:00,BRL,Producción industrial (Anual) (Mar),2,"-3,8%","-1,6%","-0,4%"
2020-05-05,14:30,CAD,Balanza comercial (Mar),2,"-1,41B","-2,00B","-0,89B"
2020-05-05,14:30,USD,Balanza comercial (Mar),2,"-44,40B","-44,00B","-39,80B"
2020-05-05,14:30,USD,Exportaciones,2,"187,80B",,"207,50B"
2020-05-05,14:30,USD,Importaciones,2,"232,20B",,"247,50B"
2020-05-05,16:00,USD,Índice ISM de precios del sector no manufacturero (Abr),2,"55,1",,"50,0"
2020-05-05,16:00,USD,Índice ISM de empleo en el sector no manufacturero (Abr),2,"30,0",,"47,0"
2020-05-05,20:00,USD,"Declaraciones de Bullard, miembro del FOMC",2,,,
2020-05-05,20:00,USD,"Declaraciones de Bostic, miembro del FOMC",2,,,
2020-05-05,22:30,USD,Reservas semanales de crudo del API,2,"8,400M",,"10,000M"
